itemCode,製品名:和名,製造販売元,経済課コード,リスク区分等,成分名
,青木かぜ薬,（有）青木流芳院,590G00A04213,指定第2類,
,青木家宝湯,（有）青木流芳院,590G00A06234,第2類,
,神命湯,（有）青木流芳院,590G01A06234,第2類,
,浄血湯,（有）青木流芳院,590G02A06234,第2類,
,鎮狂湯,（有）青木流芳院,590G00A09655,第2類,
,鎮痛補血湯,（有）青木流芳院,590G01A09655,第2類,
,キクダマ胃腸丸,（株）赤玉堂,233R00D01610,第3類,
,コウドン（W）,（株）赤玉堂,118B00D00132,指定第2類,
,サンプンラク,（株）赤玉堂,114B00D00106,指定第2類,
,新セキドメ,（株）赤玉堂,224B00D00309,指定第2類,
,サブターフュージ,（株）アグリマート,734Z00A05200,第2類,
,浅田飴,（株）浅田飴,224Z00A05318,指定第2類,
,浅田飴子供せきどめドロップG,（株）浅田飴,224C00D10004,指定第2類,
,浅田飴子供せきどめドロップS,（株）浅田飴,224C00A10021,指定第2類,
,浅田飴せきどめ,（株）浅田飴,224C02A00017,指定第2類,
,浅田飴せきどめCL,（株）浅田飴,224C00A10020,指定第2類,
,浅田飴せきどめGA,（株）浅田飴,224C00D10015,指定第2類,
,浅田飴せきどめLE,（株）浅田飴,224C00D10016,指定第2類,
,浅田飴せきどめOG,（株）浅田飴,224C00D10030,指定第2類,
,浅田飴せきどめSD,（株）浅田飴,224C00D10032,指定第2類,
,固形浅田飴クールS,（株）浅田飴,224C00D00757,指定第2類,
,固形浅田飴ニッキS,（株）浅田飴,224C00D00736,指定第2類,
,固形浅田飴パッションS,（株）浅田飴,224C00D00703,指定第2類,
,コフチンS,（株）浅田飴,224C00D00008,指定第2類,
drug-pony:10394896,トラベロップQQ G,（株）浅田飴,133C00D10020,第2類,
drug-pony:10394895,トラベロップQQ S,（株）浅田飴,133C00D10021,第2類,
,ビエロップQQ,（株）浅田飴,132C01D10004,第2類,
,和光堂マルツエキス,アサヒグループ食品（株）,327Z00A02307,第3類,
,和光堂マルツエキス・スティック,アサヒグループ食品（株）,235F00A00056,第3類,
,新朝日エフコデ,朝日製薬（株）・奈,224B05D00001,指定第2類,
,新スターミンA,朝日製薬（株）・奈,118B00D00025,指定第2類,
,新スターミン錠G,朝日製薬（株）・奈,118C01D00055,指定第2類,
,スターミンカプセル,朝日製薬（株）・奈,118D00B00201,指定第2類,
,づつうはいたアサヒスピード,朝日製薬（株）・奈,114B00B00146,指定第2類,
,ネオスピード,朝日製薬（株）・奈,114B00B01823,指定第2類,
,ネオスピード錠,朝日製薬（株）・奈,114C00B01268,指定第2類,
,熨斗朝日胃腸丸,朝日製薬（株）・奈,233R00B01048,第3類,
,熨斗朝日丸,朝日製薬（株）・奈,231R00B01063,第3類,
,膽肚羅（丸）,（有）足高本店,233R00D00580,第3類,
,イノセアワンブロック,あすか製薬（株）,232D00A00087,第1類,
,明日A,アスゲン製薬（株）,222B00A00862,指定第2類,
,アスゲンT錠,アスゲン製薬（株）,279C01A00547,第3類,
,アスゲンかぜ総合錠,アスゲン製薬（株）,118C07A10002,指定第2類,
,アスゲン散EX,アスゲン製薬（株）,222B00A00795,指定第2類,
,アスゲン錠EX,アスゲン製薬（株）,222C00A00340,指定第2類,
,アスゲン長城冠丹元顆粒,アスゲン製薬（株）,219B00A00535,第2類,
,アスゲン鼻炎錠S,アスゲン製薬（株）,132C01A10008,第2類,
,温清飲エキス錠N「アスゲン」,アスゲン製薬（株）,520C01A00629,第2類,
,オラキュア錠,アスゲン製薬（株）,279C00A00546,第3類,
,ガノン顆粒KA-Ⅱ,アスゲン製薬（株）,118B06A10009,指定第2類,
,ガノン鼻炎L,アスゲン製薬（株）,132D00A00127,指定第2類,
,牛黄純末カプセル,アスゲン製薬（株）,211D00A00084,第3類,
,シロップAアスゲンa,アスゲン製薬（株）,224E05A10001,指定第2類,
,錠Aアスゲン,アスゲン製薬（株）,222C03A10007,指定第2類,
,スズレックス顆粒EX,アスゲン製薬（株）,118B03A10008,指定第2類,
,清心蓮子飲エキス顆粒H,アスゲン製薬（株）,520B00A01102,第2類,
,喘妙散A,アスゲン製薬（株）,222B00A10011,指定第2類,
,喘妙散α,アスゲン製薬（株）,222B00A10012,指定第2類,
,喘妙シロップ(販売名:喘妙シロップa),アスゲン製薬（株）,224E04A10002,指定第2類,
,喘妙錠A,アスゲン製薬（株）,222C00A10008,指定第2類,
,喘妙錠α,アスゲン製薬（株）,222C00A10009,指定第2類,
,喘妙せき止め散,アスゲン製薬（株）,224B01A00043,指定第2類,
,喘妙せき止めシロップ,アスゲン製薬（株）,224E00A00041,指定第2類,
,喘妙せき止め錠,アスゲン製薬（株）,224C00A00042,指定第2類,
,喘妙鼻炎錠S,アスゲン製薬（株）,132C00A10009,第2類,
,長城甦腎宝錠,アスゲン製薬（株）,329C00A00197,第2類,
,長城清心丸,アスゲン製薬（株）,329R70A00032,第2類,
,ナイフル,アスゲン製薬（株）,112C00A10253,指定第2類,
,ネオアスゲン顆粒,アスゲン製薬（株）,520B01A00024,第2類,
,馬場安寿丸,アスゲン製薬（株）,329R00A00337,第2類,
,バリファックス,アスゲン製薬（株）,114C04A10001,指定第2類,
,プロアスゲン細粒,アスゲン製薬（株）,520B03A00156,第2類,
,プロアスゲン「細粒」,アスゲン製薬（株）,520B02A00423,第2類,
,ベネスロン,アスゲン製薬（株）,114C01A10002,指定第2類,
,ポレガード,アスゲン製薬（株）,441C00A00455,第2類,
,メディスク,アスゲン製薬（株）,114C02A10003,指定第2類,
,アースシラミとりシャンプー,アース製薬（株）,734M01A00679,第2類,
,アーススミラブ発泡錠,アース製薬（株）,734Z00A00341,第2類,
,アーススミラブ発泡錠05,アース製薬（株）,734Z00A10277,第2類,
,アーススミラブ発泡錠10,アース製薬（株）,734Z00A10278,第2類,
,アーススミラブ発泡錠20,アース製薬（株）,734Z00A10279,第2類,
,アーススミラブ粒剤,アース製薬（株）,734Z00A00272,第2類,
,アースレッドW(販売名:アースレッドFCa),アース製薬（株）,734Z01A00044,第2類,
,アースレッドWノンスモーク霧タイプ　マンション・アパート用(販売名:アースレッドノンスモークFA),アース製薬（株）,734L00A00150,第2類,
,アースレッド　キッチン・ダイニング用 (販売名:アースレッドノンスモークFAa),アース製薬（株）,734L00A00556,第2類,
,アースレッド　寝室・子供部屋用(販売名:アースレッドノンスモークN),アース製薬（株）,734L00A00483,第2類,
,アースレッドプロα(販売名:アースレッドpx),アース製薬（株）,734Z01A00636,第2類,
,アースレッド　リビング用(販売名:アースくん蒸剤KJE),アース製薬（株）,734L00A00369,第2類,
,アースレッド　和室用(販売名:アースレッドノンスモークMa),アース製薬（株）,734L00A00544,第2類,
,アルトシッド10F,アース製薬（株）,734Z01A01553,第2類,
,医薬品トコジラミゴキブリアース(販売名:BBジェットDE),アース製薬（株）,734L00A00275,第2類,
